episode num = '0', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '21.7254702251', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '12.7545903246', episode_total_reward = '18.8129607038', current_state = '10110000000000000', actions_taken = '0,2,3', strategy = ['exploit', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '17.3020475336', episode_total_reward = '29.5287010123', current_state = '11001000000000000', actions_taken = '0,4,1', strategy = ['explore', 'exploit', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '13.2740238201', episode_total_reward = '24.8838489888', current_state = '10010000001000000', actions_taken = '0,3,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '16.9888521693', episode_total_reward = '34.7669604376', current_state = '10101000000000000', actions_taken = '0,4,2', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '6', episode_total_immediate_rewards = '6.45737705619', episode_total_reward = '6.45737705619', current_state = '00001000000110000', actions_taken = '4,12,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '6.21474364765', episode_total_reward = '6.21474364765', current_state = '00100000000110000', actions_taken = '11,12,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '17.1124882268', episode_total_reward = '34.8905964951', current_state = '10001000000100000', actions_taken = '0,4,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '9', episode_total_immediate_rewards = '6.8584952632', episode_total_reward = '6.8584952632', current_state = '00010000001010000', actions_taken = '3,12,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '10', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '6.67009414555', episode_total_reward = '6.67009414555', current_state = '01001000000010000', actions_taken = '12,1,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '12', episode_total_immediate_rewards = '16.9888521693', episode_total_reward = '34.7669604376', current_state = '10101000000000000', actions_taken = '0,4,2', strategy = ['explore', 'exploit', 'explore'] 
episode num = '13', episode_total_immediate_rewards = '12.8813388668', episode_total_reward = '24.4911640356', current_state = '11000000000100000', actions_taken = '0,1,11', strategy = ['exploit', 'explore', 'explore'] 
episode num = '14', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '15', episode_total_immediate_rewards = '12.4283133009', episode_total_reward = '24.0381384696', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'explore', 'explore'] 
episode num = '16', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '39.5035784934', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'exploit', 'exploit'] 
